ID_Log,Remetente,Telefones,Agencia,Conta,Endereco_Completo,Banco_Destino,Chave_Pix,Data_Hora,Valor
TX-016,Beatriz Soares,(61) 97865-2052,1206,770174-2,"Rua 16, Conjunto F, Águas Claras, DF",Santander,81975332239,14/06/2026 08:20:52,4033.84
TX-017,Beatriz Soares,"(61) 97865-2052, (61) 3734-3359",1206,770174-2,Rua 16 Conj F - Águas Claras / DF,Santander,(61) 97865-2052,14/06/2026 09:29:58,2766.82
TX-018,Beatriz Soares,(61) 97865-2052,1206,770174-2,"Águas Claras, Rua 16, Bloco F",Santander,34179023587,14/06/2026 16:07:21,3244.21
TX-019,Gustavo Pereira,(61) 98450-1337,1207,877372-2,"Setor 20, Conjunto D, Gama, DF",Bradesco,79400561549,14/06/2026 20:30:49,6536.1
TX-020,Gustavo Pereira,"(61) 98450-1337, (61) 3357-8368",1207,877372-2,Setor 20 Conj D - Gama / DF,Bradesco,cliente07@exemplo.com,14/06/2026 15:47:35,3753.42
TX-021,Gustavo Pereira,(61) 98450-1337,1207,877372-2,"Gama, Setor 20, Bloco D",Inter,(61) 98450-1337,14/06/2026 16:18:46,6701.28
TX-022,João Silva,(61) 95452-9295,1208,456600-1,"Rua 17, Conjunto D, Águas Claras, DF",Inter,39876336011,14/06/2026 07:44:32,5687.07
TX-023,João Silva,"(61) 95452-9295, (61) 3249-4330",1208,456600-1,Rua 17 Conj D - Águas Claras / DF,Inter,45193663373,14/06/2026 22:12:57,642.82
TX-024,João Silva,(61) 95452-9295,1208,456600-1,"Águas Claras, Rua 17, Bloco D",Nubank,(61) 95452-9295,14/06/2026 12:24:05,6970.66
TX-025,Beatriz Oliveira,(61) 93219-8929,1209,948318-8,"QE 17, Conjunto F, Guará, DF",Inter,65540577572c6eda,14/06/2026 21:12:53,6303.35
TX-026,Beatriz Oliveira,"(61) 93219-8929, (61) 3504-7526",1209,948318-8,QE 17 Conj F - Guará / DF,Sicoob,94999662075,14/06/2026 22:47:08,2578.74
TX-027,Beatriz Oliveira,(61) 93219-8929,1209,948318-8,"Guará, QE 17, Bloco F",Santander,59223595783,14/06/2026 16:58:07,2369.72
TX-028,Carolina Almeida,(61) 96620-4153,1210,327115-7,"Quadra 4, Conjunto D, Sobradinho, DF",Nubank,(61) 96620-4153,14/06/2026 13:24:32,6423.2
TX-029,Carolina Almeida,"(61) 96620-4153, (61) 3840-3960",1210,327115-7,Quadra 4 Conj D - Sobradinho / DF,Banco do Brasil,52613303328,14/06/2026 13:25:23,6812.05
TX-030,Carolina Almeida,(61) 96620-4153,1210,327115-7,"Sobradinho, Quadra 4, Bloco D",Itaú,(61) 96620-4153,14/06/2026 15:34:52,7081.94
TX-031,Rafael Ribeiro,(61) 97363-5890,1211,154110-9,"QS 21, Conjunto B, Riacho Fundo, DF",Sicoob,(61) 97363-5890,14/06/2026 18:02:28,4222.93
TX-032,Rafael Ribeiro,"(61) 97363-5890, (61) 3110-8627",1211,154110-9,QS 21 Conj B - Riacho Fundo / DF,Caixa,93307c14804142f3,14/06/2026 12:52:15,2532.15
TX-033,Rafael Ribeiro,(61) 97363-5890,1211,154110-9,"Riacho Fundo, QS 21, Bloco B",Sicoob,65920097185,14/06/2026 07:49:11,5504.55
TX-034,Fernanda Martins,(61) 91700-8705,1212,600508-8,"Rua 24, Conjunto B, Águas Claras, DF",Caixa,80709791722,14/06/2026 17:12:55,5294.59
TX-035,Fernanda Martins,"(61) 91700-8705, (61) 3554-3319",1212,600508-8,Rua 24 Conj B - Águas Claras / DF,Santander,(61) 91700-8705,14/06/2026 22:22:00,1710.69
TX-036,Fernanda Martins,(61) 91700-8705,1212,600508-8,"Águas Claras, Rua 24, Bloco B",Caixa,(61) 91700-8705,14/06/2026 22:09:04,1264.31
TX-037,Felipe Gomes,(61) 97962-1711,1213,536267-5,"Setor 11, Conjunto B, Gama, DF",Inter,cliente13@exemplo.com,14/06/2026 07:47:17,2274.13
TX-038,Felipe Gomes,"(61) 97962-1711, (61) 3621-1212",1213,536267-5,Setor 11 Conj B - Gama / DF,Banco do Brasil,484e72d7396101ee,14/06/2026 21:46:56,778.69
TX-039,Felipe Gomes,(61) 97962-1711,1213,536267-5,"Gama, Setor 11, Bloco B",Inter,(61) 97962-1711,14/06/2026 17:27:34,3907.7
TX-040,Beatriz Pereira,(61) 97658-8349,1214,171067-6,"QS 28, Conjunto F, Riacho Fundo, DF",Nubank,(61) 97658-8349,14/06/2026 14:26:33,3701.67
TX-041,Beatriz Pereira,"(61) 97658-8349, (61) 3113-1985",1214,171067-6,QS 28 Conj F - Riacho Fundo / DF,Inter,cliente14@exemplo.com,14/06/2026 10:19:59,7293.12
TX-042,Beatriz Pereira,(61) 97658-8349,1214,171067-6,"Riacho Fundo, QS 28, Bloco F",Banco do Brasil,cliente14@exemplo.com,14/06/2026 11:10:58,3030.36
TX-043,João Soares,(61) 97753-6274,1215,127119-0,"QE 16, Conjunto F, Guará, DF",Nubank,4a98164ab2e637d9,14/06/2026 22:08:56,2284.86
TX-044,João Soares,"(61) 97753-6274, (61) 3560-1490",1215,127119-0,QE 16 Conj F - Guará / DF,Inter,(61) 97753-6274,14/06/2026 11:49:42,3868.64
TX-045,João Soares,(61) 97753-6274,1215,127119-0,"Guará, QE 16, Bloco F",Sicoob,cliente15@exemplo.com,14/06/2026 19:46:23,1690.88
TX-046,Felipe Martins,(61) 98120-7400,1216,332835-8,"Quadra 5, Conjunto D, Sobradinho, DF",Nubank,(61) 98120-7400,14/06/2026 21:49:02,3569.96
TX-047,Felipe Martins,"(61) 98120-7400, (61) 3573-4095",1216,332835-8,Quadra 5 Conj D - Sobradinho / DF,Sicoob,23425976715,14/06/2026 19:17:58,6948.91
TX-048,Felipe Martins,(61) 98120-7400,1216,332835-8,"Sobradinho, Quadra 5, Bloco D",Bradesco,80630871536,14/06/2026 13:01:35,2169.23
TX-049,Rafael Almeida,(61) 91773-2732,1217,323738-6,"QS 21, Conjunto F, Riacho Fundo, DF",Santander,cliente17@exemplo.com,14/06/2026 08:24:49,1352.58
TX-050,Rafael Almeida,"(61) 91773-2732, (61) 3520-2554",1217,323738-6,QS 21 Conj F - Riacho Fundo / DF,Itaú,d9f28c1423fc8ea4,14/06/2026 09:09:56,1223.43
TX-051,Rafael Almeida,(61) 91773-2732,1217,323738-6,"Riacho Fundo, QS 21, Bloco F",Itaú,(61) 91773-2732,14/06/2026 20:33:05,741.09
TX-052,Carlos Gomes,(61) 98048-4290,1218,329714-7,"QE 4, Conjunto B, Guará, DF",Sicoob,57421500457,14/06/2026 08:57:29,7170.8
TX-053,Carlos Gomes,"(61) 98048-4290, (61) 3677-7630",1218,329714-7,QE 4 Conj B - Guará / DF,Inter,cliente18@exemplo.com,14/06/2026 20:59:13,5886.89
TX-054,Carlos Gomes,(61) 98048-4290,1218,329714-7,"Guará, QE 4, Bloco B",Banco do Brasil,cliente18@exemplo.com,14/06/2026 12:49:42,5066.21
TX-055,Carolina Ferreira,(61) 97565-6661,1219,405854-5,"QE 4, Conjunto E, Guará, DF",Caixa,cliente19@exemplo.com,14/06/2026 08:06:07,1762.38
TX-056,Carolina Ferreira,"(61) 97565-6661, (61) 3805-4750",1219,405854-5,QE 4 Conj E - Guará / DF,Caixa,99195392605,14/06/2026 16:30:50,6871.64
TX-057,Carolina Ferreira,(61) 97565-6661,1219,405854-5,"Guará, QE 4, Bloco E",Bradesco,(61) 97565-6661,14/06/2026 23:39:35,4697.53
TX-058,Gustavo Carvalho,(61) 91544-5740,1220,987622-6,"QE 23, Conjunto E, Guará, DF",Banco do Brasil,(61) 91544-5740,14/06/2026 19:57:00,2842.03
TX-059,Gustavo Carvalho,"(61) 91544-5740, (61) 3358-6135",1220,987622-6,QE 23 Conj E - Guará / DF,Sicoob,(61) 91544-5740,14/06/2026 10:08:39,6451.5
TX-060,Gustavo Carvalho,(61) 91544-5740,1220,987622-6,"Guará, QE 23, Bloco E",Santander,cliente20@exemplo.com,14/06/2026 19:31:38,4763.62
TX-061,Marcelo Gomes,(61) 94364-6869,1221,174038-3,"SQS 36, Conjunto E, Plano Piloto, DF",Nubank,58072174887,14/06/2026 09:47:24,760.6
TX-062,Marcelo Gomes,"(61) 94364-6869, (61) 3437-8878",1221,174038-3,SQS 36 Conj E - Plano Piloto / DF,Banco do Brasil,24046477252,14/06/2026 19:11:38,2711.52
TX-063,Marcelo Gomes,(61) 94364-6869,1221,174038-3,"Plano Piloto, SQS 36, Bloco E",Nubank,(61) 94364-6869,14/06/2026 22:36:16,1894.28
TX-064,Fernanda Soares,(61) 95259-9510,1222,197272-9,"Quadra 8, Conjunto C, Recanto das Emas, DF",Sicoob,(61) 95259-9510,14/06/2026 11:53:51,7175.81
TX-065,Fernanda Soares,"(61) 95259-9510, (61) 3811-2955",1222,197272-9,Quadra 8 Conj C - Recanto das Emas / DF,Sicoob,25544851245,14/06/2026 07:05:05,6280.66
TX-066,Fernanda Soares,(61) 95259-9510,1222,197272-9,"Recanto das Emas, Quadra 8, Bloco C",Nubank,(61) 95259-9510,14/06/2026 20:57:59,6153.0
TX-067,Pedro Lopes,(61) 91005-7805,1223,238731-6,"QE 27, Conjunto B, Guará, DF",Caixa,83764567538,14/06/2026 20:42:54,3162.66
TX-068,Pedro Lopes,"(61) 91005-7805, (61) 3214-4931",1223,238731-6,QE 27 Conj B - Guará / DF,Banco do Brasil,4e3a37fed3fc3ccf,14/06/2026 20:16:56,6553.44
TX-069,Pedro Lopes,(61) 91005-7805,1223,238731-6,"Guará, QE 27, Bloco B",Itaú,918427ff44200e61,14/06/2026 09:04:50,4787.63
TX-070,Marcos Alves,(61) 96084-6102,1224,670003-3,"Rua 2, Conjunto F, Águas Claras, DF",Inter,(61) 96084-6102,14/06/2026 09:28:19,3205.18
TX-071,Marcos Alves,"(61) 96084-6102, (61) 3611-9968",1224,670003-3,Rua 2 Conj F - Águas Claras / DF,Nubank,ddb8d35210cf3dfc,14/06/2026 15:29:02,1280.3
TX-072,Marcos Alves,(61) 96084-6102,1224,670003-3,"Águas Claras, Rua 2, Bloco F",Banco do Brasil,cliente24@exemplo.com,14/06/2026 07:48:35,3370.07
TX-073,Maria Alves,(61) 98111-9762,1225,299040-6,"QNA 14, Conjunto A, Taguatinga, DF",Itaú,(61) 98111-9762,14/06/2026 14:29:02,1565.7
TX-074,Maria Alves,"(61) 98111-9762, (61) 3961-6982",1225,299040-6,QNA 14 Conj A - Taguatinga / DF,Santander,93633742158,14/06/2026 07:36:09,2506.52
TX-075,Maria Alves,(61) 98111-9762,1225,299040-6,"Taguatinga, QNA 14, Bloco A",Banco do Brasil,6dbb03b1f9692843,14/06/2026 10:06:41,659.39
TX-076,Rafael Rodrigues,(61) 93227-5947,1226,326484-2,"Quadra 17, Conjunto C, Sobradinho, DF",Banco do Brasil,cliente26@exemplo.com,14/06/2026 14:00:54,7435.0
TX-077,Rafael Rodrigues,"(61) 93227-5947, (61) 3373-9357",1226,326484-2,Quadra 17 Conj C - Sobradinho / DF,Banco do Brasil,cliente26@exemplo.com,14/06/2026 22:47:00,3408.08
TX-078,Rafael Rodrigues,(61) 93227-5947,1226,326484-2,"Sobradinho, Quadra 17, Bloco C",Caixa,5f2558e5078a17d4,14/06/2026 18:10:15,6060.97
TX-079,Pedro Almeida,(61) 95656-9822,1227,588006-5,"QNM 11, Conjunto A, Ceilândia, DF",Banco do Brasil,94427494441,14/06/2026 13:23:03,1740.31
TX-080,Pedro Almeida,"(61) 95656-9822, (61) 3781-6548",1227,588006-5,QNM 11 Conj A - Ceilândia / DF,Bradesco,76680296461,14/06/2026 13:32:08,2368.2
TX-081,Pedro Almeida,(61) 95656-9822,1227,588006-5,"Ceilândia, QNM 11, Bloco A",Caixa,e7134959c911712c,14/06/2026 17:19:40,2537.13
TX-082,Mariana Gomes,(61) 94854-2673,1228,604248-2,"Quadra 10, Conjunto C, Recanto das Emas, DF",Nubank,cliente28@exemplo.com,14/06/2026 22:55:02,6055.24
TX-083,Mariana Gomes,"(61) 94854-2673, (61) 3746-1864",1228,604248-2,Quadra 10 Conj C - Recanto das Emas / DF,Nubank,cf2b2a44be8de111,14/06/2026 09:51:43,5786.58
TX-084,Mariana Gomes,(61) 94854-2673,1228,604248-2,"Recanto das Emas, Quadra 10, Bloco C",Sicoob,cliente28@exemplo.com,14/06/2026 22:01:15,3753.5
TX-085,Lucas Oliveira,(61) 93552-5533,1229,105495-7,"Setor 15, Conjunto A, Gama, DF",Itaú,518e773865748623,14/06/2026 14:17:47,4785.83
TX-086,Lucas Oliveira,"(61) 93552-5533, (61) 3358-9272",1229,105495-7,Setor 15 Conj A - Gama / DF,Sicoob,57160024684,14/06/2026 21:45:26,3481.5
TX-087,Lucas Oliveira,(61) 93552-5533,1229,105495-7,"Gama, Setor 15, Bloco A",Bradesco,(61) 93552-5533,14/06/2026 08:54:02,2405.77
TX-088,Marcelo Souza,(61) 98800-6589,1230,349891-8,"QE 12, Conjunto B, Guará, DF",Sicoob,cliente30@exemplo.com,14/06/2026 18:09:28,3217.11
TX-089,Marcelo Souza,"(61) 98800-6589, (61) 3681-4826",1230,349891-8,QE 12 Conj B - Guará / DF,Nubank,(61) 98800-6589,14/06/2026 21:18:00,2022.41
TX-090,Marcelo Souza,(61) 98800-6589,1230,349891-8,"Guará, QE 12, Bloco B",Banco do Brasil,(61) 98800-6589,14/06/2026 22:57:22,2598.22
TX-091,Maria Fernandes,(61) 92934-3105,1231,933655-0,"QS 32, Conjunto E, Riacho Fundo, DF",Inter,cc6f0bcd1069cf99,14/06/2026 14:10:25,1379.96
TX-092,Maria Fernandes,"(61) 92934-3105, (61) 3529-1164",1231,933655-0,QS 32 Conj E - Riacho Fundo / DF,Banco do Brasil,7d0163c0bcb33cc4,14/06/2026 10:54:21,2972.41
TX-093,Maria Fernandes,(61) 92934-3105,1231,933655-0,"Riacho Fundo, QS 32, Bloco E",Caixa,322a43ad1a3e3f94,14/06/2026 13:07:32,676.84
TX-094,Pedro Ribeiro,(61) 93865-4113,1232,226930-5,"Quadra 29, Conjunto F, Sobradinho, DF",Banco do Brasil,16075712673,14/06/2026 14:27:28,7021.68
TX-095,Pedro Ribeiro,"(61) 93865-4113, (61) 3084-2071",1232,226930-5,Quadra 29 Conj F - Sobradinho / DF,Bradesco,d54d121e605d4f19,14/06/2026 23:09:32,2761.51
TX-096,Pedro Ribeiro,(61) 93865-4113,1232,226930-5,"Sobradinho, Quadra 29, Bloco F",Banco do Brasil,cliente32@exemplo.com,14/06/2026 08:04:21,207.09
TX-097,Juliana Oliveira,(61) 96265-1540,1233,510869-8,"SQS 21, Conjunto F, Plano Piloto, DF",Sicoob,(61) 96265-1540,14/06/2026 11:53:09,2708.44
TX-098,Juliana Oliveira,"(61) 96265-1540, (61) 3845-4352",1233,510869-8,SQS 21 Conj F - Plano Piloto / DF,Nubank,77068636928,14/06/2026 16:07:48,1563.88
TX-099,Juliana Oliveira,(61) 96265-1540,1233,510869-8,"Plano Piloto, SQS 21, Bloco F",Caixa,38bd38f48ee08031,14/06/2026 11:06:44,6830.02
TX-100,Amanda Lopes,(61) 98594-8902,1234,270561-3,"Setor 29, Conjunto D, Gama, DF",Santander,(61) 98594-8902,14/06/2026 20:46:58,5398.98
TX-101,Amanda Lopes,"(61) 98594-8902, (61) 3807-6420",1234,270561-3,Setor 29 Conj D - Gama / DF,Banco do Brasil,774af9aaddc909a1,14/06/2026 12:00:05,6798.99
TX-102,Amanda Lopes,(61) 98594-8902,1234,270561-3,"Gama, Setor 29, Bloco D",Santander,(61) 98594-8902,14/06/2026 17:25:54,4248.89
TX-103,Fernanda Rodrigues,(61) 93118-4819,1235,742455-8,"QN 27, Conjunto E, Samambaia, DF",Inter,(61) 93118-4819,14/06/2026 14:34:43,5829.18
TX-104,Fernanda Rodrigues,"(61) 93118-4819, (61) 3792-1939",1235,742455-8,QN 27 Conj E - Samambaia / DF,Santander,cliente35@exemplo.com,14/06/2026 09:59:58,6060.97
TX-105,Fernanda Rodrigues,(61) 93118-4819,1235,742455-8,"Samambaia, QN 27, Bloco E",Bradesco,102c62758c36ea2a,14/06/2026 08:24:37,3496.09
TX-106,Rafael Costa,(61) 93756-6640,1236,763406-2,"QN 20, Conjunto D, Samambaia, DF",Inter,9de9f09b44aa8220,14/06/2026 09:38:10,4601.36
TX-107,Rafael Costa,"(61) 93756-6640, (61) 3716-3102",1236,763406-2,QN 20 Conj D - Samambaia / DF,Itaú,cliente36@exemplo.com,14/06/2026 10:20:18,5627.44
TX-108,Rafael Costa,(61) 93756-6640,1236,763406-2,"Samambaia, QN 20, Bloco D",Sicoob,cliente36@exemplo.com,14/06/2026 12:16:59,197.99
TX-109,Maria Soares,(61) 93642-6337,1237,266159-5,"QNM 3, Conjunto C, Ceilândia, DF",Sicoob,cliente37@exemplo.com,14/06/2026 10:40:05,3266.28
TX-110,Maria Soares,"(61) 93642-6337, (61) 3040-2647",1237,266159-5,QNM 3 Conj C - Ceilândia / DF,Banco do Brasil,96917453866,14/06/2026 08:36:35,3111.3
TX-111,Maria Soares,(61) 93642-6337,1237,266159-5,"Ceilândia, QNM 3, Bloco C",Nubank,(61) 93642-6337,14/06/2026 09:39:15,3381.99
TX-112,Juliana Carvalho,(61) 97042-7550,1238,234056-9,"QS 32, Conjunto C, Riacho Fundo, DF",Nubank,cliente38@exemplo.com,14/06/2026 14:23:27,1447.34
TX-113,Juliana Carvalho,"(61) 97042-7550, (61) 3980-1369",1238,234056-9,QS 32 Conj C - Riacho Fundo / DF,Inter,257114ca817a2170,14/06/2026 12:06:47,1195.64
TX-114,Juliana Carvalho,(61) 97042-7550,1238,234056-9,"Riacho Fundo, QS 32, Bloco C",Banco do Brasil,beaef179e56aacbf,14/06/2026 09:52:14,712.87
TX-115,Felipe Silva,(61) 91267-9173,1239,758662-2,"QNM 36, Conjunto F, Ceilândia, DF",Banco do Brasil,b7d28226eb6b160b,14/06/2026 20:39:14,5930.37
TX-116,Felipe Silva,"(61) 91267-9173, (61) 3736-7638",1239,758662-2,QNM 36 Conj F - Ceilândia / DF,Caixa,(61) 91267-9173,14/06/2026 11:17:35,1774.34
TX-117,Felipe Silva,(61) 91267-9173,1239,758662-2,"Ceilândia, QNM 36, Bloco F",Inter,cliente39@exemplo.com,14/06/2026 09:35:39,71.34
TX-118,Felipe Rodrigues,(61) 97718-9403,1240,846336-1,"QNA 12, Conjunto D, Taguatinga, DF",Caixa,84887322831,14/06/2026 12:30:32,723.36
TX-119,Felipe Rodrigues,"(61) 97718-9403, (61) 3309-8999",1240,846336-1,QNA 12 Conj D - Taguatinga / DF,Bradesco,44967150573,14/06/2026 14:41:40,958.74
TX-120,Felipe Rodrigues,(61) 97718-9403,1240,846336-1,"Taguatinga, QNA 12, Bloco D",Banco do Brasil,4d6a4ed8d9c75790,14/06/2026 20:51:47,5225.8
TX-121,Marcelo Rodrigues,(61) 97107-3038,1241,603138-5,"SQS 18, Conjunto E, Plano Piloto, DF",Bradesco,95938825914,14/06/2026 15:59:05,2809.53
TX-122,Marcelo Rodrigues,"(61) 97107-3038, (61) 3236-6872",1241,603138-5,SQS 18 Conj E - Plano Piloto / DF,Inter,2daaa934268c7c99,14/06/2026 14:41:28,1349.89
TX-123,Marcelo Rodrigues,(61) 97107-3038,1241,603138-5,"Plano Piloto, SQS 18, Bloco E",Sicoob,cliente41@exemplo.com,14/06/2026 18:31:21,5669.81
TX-124,Gustavo Lima,(61) 94995-8017,1242,955641-8,"QN 17, Conjunto E, Samambaia, DF",Santander,b3d43e5388da1ec5,14/06/2026 13:15:53,5156.13
TX-125,Gustavo Lima,"(61) 94995-8017, (61) 3380-7186",1242,955641-8,QN 17 Conj E - Samambaia / DF,Sicoob,cliente42@exemplo.com,14/06/2026 07:05:45,1694.8
TX-126,Gustavo Lima,(61) 94995-8017,1242,955641-8,"Samambaia, QN 17, Bloco E",Bradesco,cliente42@exemplo.com,14/06/2026 17:12:14,3338.83
TX-127,Carlos Oliveira,(61) 96248-1061,1243,847905-9,"Rua 30, Conjunto F, Águas Claras, DF",Caixa,28294503342,14/06/2026 07:55:15,1371.64
TX-128,Carlos Oliveira,"(61) 96248-1061, (61) 3668-8639",1243,847905-9,Rua 30 Conj F - Águas Claras / DF,Inter,cliente43@exemplo.com,14/06/2026 10:06:42,3982.52
TX-129,Carlos Oliveira,(61) 96248-1061,1243,847905-9,"Águas Claras, Rua 30, Bloco F",Santander,(61) 96248-1061,14/06/2026 09:57:41,4105.23
TX-130,Camila Soares,(61) 97871-5254,1244,159016-6,"QN 5, Conjunto B, Samambaia, DF",Caixa,a6306febffe8f418,14/06/2026 19:38:49,6700.12
TX-131,Camila Soares,"(61) 97871-5254, (61) 3997-6325",1244,159016-6,QN 5 Conj B - Samambaia / DF,Santander,cliente44@exemplo.com,14/06/2026 22:30:23,2086.87
TX-132,Camila Soares,(61) 97871-5254,1244,159016-6,"Samambaia, QN 5, Bloco B",Itaú,0a4fc3919e803d18,14/06/2026 20:04:29,1797.58
TX-133,Amanda Rodrigues,(61) 94753-2686,1245,586857-6,"QE 40, Conjunto E, Guará, DF",Nubank,(61) 94753-2686,14/06/2026 22:34:50,7108.91
TX-134,Amanda Rodrigues,"(61) 94753-2686, (61) 3530-9099",1245,586857-6,QE 40 Conj E - Guará / DF,Sicoob,79030443904,14/06/2026 10:47:01,4033.77
TX-135,Amanda Rodrigues,(61) 94753-2686,1245,586857-6,"Guará, QE 40, Bloco E",Bradesco,cliente45@exemplo.com,14/06/2026 15:28:18,6005.81
TX-136,Rafael Carvalho,(61) 99460-4498,1246,944945-3,"QE 34, Conjunto B, Guará, DF",Caixa,(61) 99460-4498,14/06/2026 17:41:55,6456.88
TX-137,Rafael Carvalho,"(61) 99460-4498, (61) 3846-4153",1246,944945-3,QE 34 Conj B - Guará / DF,Inter,205ae0e4521c872c,14/06/2026 11:53:08,1148.95
TX-138,Rafael Carvalho,(61) 99460-4498,1246,944945-3,"Guará, QE 34, Bloco B",Bradesco,cliente46@exemplo.com,14/06/2026 23:12:23,802.14
TX-139,Marcelo Ferreira,(61) 91338-7061,1247,559301-0,"QS 26, Conjunto F, Riacho Fundo, DF",Banco do Brasil,(61) 91338-7061,14/06/2026 20:12:47,1288.76
TX-140,Marcelo Ferreira,"(61) 91338-7061, (61) 3628-1686",1247,559301-0,QS 26 Conj F - Riacho Fundo / DF,Santander,(61) 91338-7061,14/06/2026 10:20:52,1848.45
TX-141,Marcelo Ferreira,(61) 91338-7061,1247,559301-0,"Riacho Fundo, QS 26, Bloco F",Inter,(61) 91338-7061,14/06/2026 17:02:40,4418.39
TX-142,Beatriz Souza,(61) 95168-8955,1248,395375-7,"QS 24, Conjunto B, Riacho Fundo, DF",Nubank,29953530222,14/06/2026 14:48:31,4799.98
TX-143,Beatriz Souza,"(61) 95168-8955, (61) 3377-9345",1248,395375-7,QS 24 Conj B - Riacho Fundo / DF,Santander,(61) 95168-8955,14/06/2026 19:38:03,5103.83
TX-144,Beatriz Souza,(61) 95168-8955,1248,395375-7,"Riacho Fundo, QS 24, Bloco B",Bradesco,cliente48@exemplo.com,14/06/2026 17:59:13,193.48
TX-145,Letícia Souza,(61) 93804-3080,1249,782182-3,"Quadra 9, Conjunto E, Sobradinho, DF",Itaú,30bc9836bfa8c806,14/06/2026 15:46:24,483.54
TX-146,Letícia Souza,"(61) 93804-3080, (61) 3268-5055",1249,782182-3,Quadra 9 Conj E - Sobradinho / DF,Nubank,cliente49@exemplo.com,14/06/2026 23:33:40,1855.3
TX-147,Letícia Souza,(61) 93804-3080,1249,782182-3,"Sobradinho, Quadra 9, Bloco E",Bradesco,(61) 93804-3080,14/06/2026 21:43:31,1532.28
TX-148,João Pereira,(61) 92056-9807,1250,510669-6,"Quadra 12, Conjunto E, Sobradinho, DF",Inter,(61) 92056-9807,14/06/2026 14:13:11,2686.5
TX-149,João Pereira,"(61) 92056-9807, (61) 3998-6095",1250,510669-6,Quadra 12 Conj E - Sobradinho / DF,Bradesco,97778093719,14/06/2026 19:21:37,5831.08
TX-150,João Pereira,(61) 92056-9807,1250,510669-6,"Sobradinho, Quadra 12, Bloco E",Itaú,74503717596,14/06/2026 20:20:45,4689.02
TX-151,Lucas Souza,(61) 97576-2027,1251,828734-0,"QN 22, Conjunto F, Samambaia, DF",Inter,(61) 97576-2027,14/06/2026 10:14:56,1427.02
TX-152,Lucas Souza,"(61) 97576-2027, (61) 3167-2563",1251,828734-0,QN 22 Conj F - Samambaia / DF,Inter,18745620754,14/06/2026 11:12:28,3580.22
TX-153,Lucas Souza,(61) 97576-2027,1251,828734-0,"Samambaia, QN 22, Bloco F",Sicoob,cliente51@exemplo.com,14/06/2026 16:25:08,5565.42
TX-154,Carlos Carvalho,(61) 94897-2883,1252,709106-9,"Setor 5, Conjunto F, Gama, DF",Inter,89246911260,14/06/2026 19:40:22,6158.2
